source_id	source_spec	bundle_uuid	bundle_version	file_document_id	file_type	file_name	file_format	read_index	file_size	file_uuid	file_version	file_crc32c	file_sha256	file_content_type	file_drs_uri	file_url	cell_suspension.provenance.document_id	cell_suspension.biomaterial_core.biomaterial_id	cell_suspension.estimated_cell_count	cell_suspension.selected_cell_type	sequencing_process.provenance.document_id	sequencing_protocol.instrument_manufacturer_model	sequencing_protocol.paired_end	library_preparation_protocol.library_construction_approach	library_preparation_protocol.nucleic_acid_source	project.provenance.document_id	project.contributors.institution	project.contributors.laboratory	project.project_core.project_short_name	project.project_core.project_title	project.estimated_cell_count	specimen_from_organism.provenance.document_id	specimen_from_organism.diseases	specimen_from_organism.organ	specimen_from_organism.organ_part	specimen_from_organism.preservation_storage.preservation_method	donor_organism.sex	donor_organism.biomaterial_core.biomaterial_id	donor_organism.provenance.document_id	donor_organism.genus_species	donor_organism.development_stage	donor_organism.diseases	donor_organism.organism_age	cell_line.provenance.document_id	cell_.biomaterial_core.biomaterial_id	organoid.provenance.document_id	organoid.biomaterial_core.biomaterial_id	organoid.model_organ	organoid.model_organ_part	_entity_type	sample.provenance.document_id	sample.biomaterial_core.biomaterial_id	sequencing_input.provenance.document_id	sequencing_input.biomaterial_core.biomaterial_id	sequencing_input_type
a4e984d0-deb9-44a8-aba0-326743c3eeba	tdr:bigquery:gcp:datarepo-76ead5af:hca_prod_64809a52f7034aecb3a5eca808a971d0__20250227_dcp2_20250304_dcp47:/0	63c49da0-a9f7-4f37-842e-a3adfd8234f5	2025-02-24T11:08:55.943000Z	02fc75ad-c928-4684-a5d8-b1ee6f0ad3b6	analysis_file	GSM6416578_6854-18_features.tsv.gz	tsv.gz		294478	6fdb2214-c0d1-4014-b6ce-19e1da505205	2025-02-20T12:33:07.221000Z	73e6f3a1	a698fb66875f9f5c2c19a83bd95193d2cef39168436495505041941b55c24a3f	application/gzip; dcp-type=data; dcp-type=data	drs://data.terra.bio/v1_a4e984d0-deb9-44a8-aba0-326743c3eeba_27dff91c-f49e-4ee0-89a1-b5315e520d40	https://service.azul.data.humancellatlas.org/repository/files/6fdb2214-c0d1-4014-b6ce-19e1da505205?catalog=dcp47&version=2025-02-20T12%3A33%3A07.221000Z	7d4e1e07-82bc-43da-adec-aa8d755f12c9	Liver-18	10000		63c49da0-a9f7-4f37-842e-a3adfd8234f5	Illumina NovaSeq 6000	False	10x 3' v3	single nucleus	64809a52-f703-4aec-b3a5-eca808a971d0	Blavatnik Institute, Harvard Medical School || Boston Children’s Hospital || Broad Institute of Harvard and MIT || EMBL-EBI || Massachusetts General Hospital || University of Massachusetts Chan Medical School	Core for Computational Biomedicine, Department for Biomedical Informatics, || Division of Gastroenterology || Program in Cellular and Molecular Medicine	FibroticLiverWatsonMERFISH	Spatial transcriptomics of healthy and fibrotic human liver at single-cell resolution	310000	7b241d73-0122-4822-9fac-38c55dbef786	normal	Liver			female	donor_2	e9b23703-a1f6-485b-90c3-35339187ad48	Homo sapiens	human adult stage	normal	81-90 year							specimens	7b241d73-0122-4822-9fac-38c55dbef786	AM061	7d4e1e07-82bc-43da-adec-aa8d755f12c9	Liver-18	cell_suspension
a4e984d0-deb9-44a8-aba0-326743c3eeba	tdr:bigquery:gcp:datarepo-76ead5af:hca_prod_64809a52f7034aecb3a5eca808a971d0__20250227_dcp2_20250304_dcp47:/0	5182f25e-4938-43e3-a69f-67ed0fb1b951	2025-02-24T11:08:55.943000Z	0e5efe1a-bca3-43c3-9ca4-e978d2e9b0f0	sequence_file	6854-13_S1_L001_I1_001.fastq.gz	fastq.gz	index1	2681658361	c2d1691f-1634-4ff9-975d-c547bb97ee0c	2025-02-20T12:33:06.472000Z	7f2a5dcc	82ea2bdf5c37c1ee272c4332eb14eb65a581f708f68b494168557c7bcfef8305	binary/octet-stream; dcp-type=data; dcp-type=data	drs://data.terra.bio/v1_a4e984d0-deb9-44a8-aba0-326743c3eeba_8effabda-67a4-4cef-a79c-4406470d41db	https://service.azul.data.humancellatlas.org/repository/files/c2d1691f-1634-4ff9-975d-c547bb97ee0c?catalog=dcp47&version=2025-02-20T12%3A33%3A06.472000Z	29eb85cc-eedf-440e-b13c-b7d5a7d94de3	Liver-13	10000		5182f25e-4938-43e3-a69f-67ed0fb1b951	Illumina NovaSeq 6000	False	10x 3' v3	single nucleus	64809a52-f703-4aec-b3a5-eca808a971d0	Blavatnik Institute, Harvard Medical School || Boston Children’s Hospital || Broad Institute of Harvard and MIT || EMBL-EBI || Massachusetts General Hospital || University of Massachusetts Chan Medical School	Core for Computational Biomedicine, Department for Biomedical Informatics, || Division of Gastroenterology || Program in Cellular and Molecular Medicine	FibroticLiverWatsonMERFISH	Spatial transcriptomics of healthy and fibrotic human liver at single-cell resolution	310000	52469344-f72d-49be-a251-19379c8e21ee	normal	Liver			female	donor_1	e7427895-cf3f-4c48-bd0f-2028bffe28c8	Homo sapiens	human adult stage	normal	51-60 year							specimens	52469344-f72d-49be-a251-19379c8e21ee	AM042	29eb85cc-eedf-440e-b13c-b7d5a7d94de3	Liver-13	cell_suspension
a4e984d0-deb9-44a8-aba0-326743c3eeba	tdr:bigquery:gcp:datarepo-76ead5af:hca_prod_64809a52f7034aecb3a5eca808a971d0__20250227_dcp2_20250304_dcp47:/0	6890d3d2-6144-4cb2-a4df-8f349c3cfc98	2025-02-24T11:08:55.943000Z	1737de6e-1302-4ce4-a49e-46a789490dc7	sequence_file	6854-14_S2_L001_R2_001.fastq.gz	fastq.gz	read2	7637805308	60d19b30-d9d2-41c0-8eff-1c6ec1f8889d	2025-02-20T12:33:06.686000Z	55fce48e	b7be70b41e81cdbae954fc6b23e24476febcb75a680ee9c6fe63298c78a3e9b0	binary/octet-stream; dcp-type=data; dcp-type=data	drs://data.terra.bio/v1_a4e984d0-deb9-44a8-aba0-326743c3eeba_4fd7635f-af5c-4ad2-b118-6cffd7bee489	https://service.azul.data.humancellatlas.org/repository/files/60d19b30-d9d2-41c0-8eff-1c6ec1f8889d?catalog=dcp47&version=2025-02-20T12%3A33%3A06.686000Z	7b3ac037-4f65-4699-ad8d-73f03987ed23	Liver-14	10000		6890d3d2-6144-4cb2-a4df-8f349c3cfc98	Illumina NovaSeq 6000	False	10x 3' v3	single nucleus	64809a52-f703-4aec-b3a5-eca808a971d0	Blavatnik Institute, Harvard Medical School || Boston Children’s Hospital || Broad Institute of Harvard and MIT || EMBL-EBI || Massachusetts General Hospital || University of Massachusetts Chan Medical School	Core for Computational Biomedicine, Department for Biomedical Informatics, || Division of Gastroenterology || Program in Cellular and Molecular Medicine	FibroticLiverWatsonMERFISH	Spatial transcriptomics of healthy and fibrotic human liver at single-cell resolution	310000	e93eb03d-3a41-4465-b58a-77e17617f880	normal	Liver			male	donor_3	7060464f-44b5-4f47-8703-48ba5c8e59f1	Homo sapiens	human adult stage	normal	61-70 year							specimens	e93eb03d-3a41-4465-b58a-77e17617f880	AM048	7b3ac037-4f65-4699-ad8d-73f03987ed23	Liver-14	cell_suspension
a4e984d0-deb9-44a8-aba0-326743c3eeba	tdr:bigquery:gcp:datarepo-76ead5af:hca_prod_64809a52f7034aecb3a5eca808a971d0__20250227_dcp2_20250304_dcp47:/0	1e4445cb-6086-4e10-91a0-67698033df71	2025-02-24T11:08:55.943000Z	17764e8b-71f5-4bc8-be87-eaeb2c7c674c	analysis_file	cell_properties_healthy_diseased_nucseq.csv	csv		6000084	57545d28-a5ff-40fc-8003-e4b7172c1a5e	2025-02-20T12:33:08.035000Z	7bbd6a0a	519a9e4e4c82f1ceb41e68a80f12d9a8367e0ad64b559a558cc6f753fc5e9b5d	application/octet-stream; dcp-type=data; dcp-type=data	drs://data.terra.bio/v1_a4e984d0-deb9-44a8-aba0-326743c3eeba_f8444f89-ec82-469b-b1cc-c4fb6e1cb92d	https://service.azul.data.humancellatlas.org/repository/files/57545d28-a5ff-40fc-8003-e4b7172c1a5e?catalog=dcp47&version=2025-02-20T12%3A33%3A08.035000Z	0b1738f8-6a5f-4832-b103-9859b780751c || 1d1d4577-c638-433b-8f7e-77bf88ea0b78 || 29eb85cc-eedf-440e-b13c-b7d5a7d94de3 || 7b3ac037-4f65-4699-ad8d-73f03987ed23 || 7d4e1e07-82bc-43da-adec-aa8d755f12c9 || e953c87e-1bef-4a20-a3fc-98ed584bc899	Liver-13 || Liver-14 || Liver-18 || Liver-32 || Liver-33 || Liver-34	60000		1e4445cb-6086-4e10-91a0-67698033df71	Illumina NovaSeq 6000	False	10x 3' v3	single nucleus	64809a52-f703-4aec-b3a5-eca808a971d0	Blavatnik Institute, Harvard Medical School || Boston Children’s Hospital || Broad Institute of Harvard and MIT || EMBL-EBI || Massachusetts General Hospital || University of Massachusetts Chan Medical School	Core for Computational Biomedicine, Department for Biomedical Informatics, || Division of Gastroenterology || Program in Cellular and Molecular Medicine	FibroticLiverWatsonMERFISH	Spatial transcriptomics of healthy and fibrotic human liver at single-cell resolution	310000	26d1f393-53c5-41ab-8863-d2bc9beabe14 || 52469344-f72d-49be-a251-19379c8e21ee || 7b241d73-0122-4822-9fac-38c55dbef786 || 7e4b6819-217a-4f12-82cc-87197263561f || e93eb03d-3a41-4465-b58a-77e17617f880 || fb0b1721-1b0e-411b-bb21-6ed7c6ad6cb1	cirrhosis of liver || fibrotic liver disease || normal	Liver			female || male	donor_1 || donor_2 || donor_3 || donor_4 || donor_5 || donor_6	1048b149-5c5e-445b-bd78-e718d183cfd5 || 7060464f-44b5-4f47-8703-48ba5c8e59f1 || c2a8ef55-7e53-456a-a3b2-430db73ed9c2 || e7427895-cf3f-4c48-bd0f-2028bffe28c8 || e9b23703-a1f6-485b-90c3-35339187ad48 || f2cc558c-20f6-41b2-9b07-294ae442abe4	Homo sapiens	human adult stage	cirrhosis of liver || fibrotic liver disease || normal	41-50 year || 51-60 year || 61-70 year || 81-90 year							specimens	26d1f393-53c5-41ab-8863-d2bc9beabe14 || 52469344-f72d-49be-a251-19379c8e21ee || 7b241d73-0122-4822-9fac-38c55dbef786 || 7e4b6819-217a-4f12-82cc-87197263561f || e93eb03d-3a41-4465-b58a-77e17617f880 || fb0b1721-1b0e-411b-bb21-6ed7c6ad6cb1	AM031 || AM042 || AM048 || AM061 || AM062 || AM072	0b1738f8-6a5f-4832-b103-9859b780751c || 1d1d4577-c638-433b-8f7e-77bf88ea0b78 || 29eb85cc-eedf-440e-b13c-b7d5a7d94de3 || 7b3ac037-4f65-4699-ad8d-73f03987ed23 || 7d4e1e07-82bc-43da-adec-aa8d755f12c9 || e953c87e-1bef-4a20-a3fc-98ed584bc899	Liver-13 || Liver-14 || Liver-18 || Liver-32 || Liver-33 || Liver-34	cell_suspension
a4e984d0-deb9-44a8-aba0-326743c3eeba	tdr:bigquery:gcp:datarepo-76ead5af:hca_prod_64809a52f7034aecb3a5eca808a971d0__20250227_dcp2_20250304_dcp47:/0	81b6fd7e-b9aa-4709-b07a-cca437a6124f	2025-02-24T11:08:55.943000Z	188f419a-58b0-4884-a8b3-196814c6f2d6	analysis_file	GSM8493744_6854-32_matrix.mtx.gz	mtx.gz		58110238	6bb0b40f-c0ef-4aab-99ab-5d60429f8579	2025-02-20T12:33:07.321000Z	4a7015ec	c1c07e153fcf8d4dcedec67650a897a63d2ef5c81e416959ba9e09ef2f9db117	application/gzip; dcp-type=data; dcp-type=data	drs://data.terra.bio/v1_a4e984d0-deb9-44a8-aba0-326743c3eeba_7750db84-3ed7-4a04-b0a6-6365baa0f024	https://service.azul.data.humancellatlas.org/repository/files/6bb0b40f-c0ef-4aab-99ab-5d60429f8579?catalog=dcp47&version=2025-02-20T12%3A33%3A07.321000Z	0b1738f8-6a5f-4832-b103-9859b780751c	Liver-32	10000		81b6fd7e-b9aa-4709-b07a-cca437a6124f	Illumina NovaSeq 6000	False	10x 3' v3	single nucleus	64809a52-f703-4aec-b3a5-eca808a971d0	Blavatnik Institute, Harvard Medical School || Boston Children’s Hospital || Broad Institute of Harvard and MIT || EMBL-EBI || Massachusetts General Hospital || University of Massachusetts Chan Medical School	Core for Computational Biomedicine, Department for Biomedical Informatics, || Division of Gastroenterology || Program in Cellular and Molecular Medicine	FibroticLiverWatsonMERFISH	Spatial transcriptomics of healthy and fibrotic human liver at single-cell resolution	310000	fb0b1721-1b0e-411b-bb21-6ed7c6ad6cb1	cirrhosis of liver	Liver			male	donor_4	f2cc558c-20f6-41b2-9b07-294ae442abe4	Homo sapiens	human adult stage	cirrhosis of liver	51-60 year							specimens	fb0b1721-1b0e-411b-bb21-6ed7c6ad6cb1	AM031	0b1738f8-6a5f-4832-b103-9859b780751c	Liver-32	cell_suspension
a4e984d0-deb9-44a8-aba0-326743c3eeba	tdr:bigquery:gcp:datarepo-76ead5af:hca_prod_64809a52f7034aecb3a5eca808a971d0__20250227_dcp2_20250304_dcp47:/0	4e368f86-9e1c-4ee4-bef9-d500f1f94a7c	2025-02-24T11:08:55.943000Z	1aa4e8dd-7af5-4352-a2c5-90e55d9b71c0	sequence_file	6854-18_S1_L001_R1_001.fastq.gz	fastq.gz	read1	2960045208	1435c7a9-e37d-4b79-98d2-a5b784c59d42	2025-02-20T12:33:06.832000Z	e4559823	48733ad404a8d64f3ebc2bb4a6be947ffe8c9bac945ef0225a24313e8a7f73e7	binary/octet-stream; dcp-type=data; dcp-type=data	drs://data.terra.bio/v1_a4e984d0-deb9-44a8-aba0-326743c3eeba_8100ecb2-3442-47a9-823f-69329210706e	https://service.azul.data.humancellatlas.org/repository/files/1435c7a9-e37d-4b79-98d2-a5b784c59d42?catalog=dcp47&version=2025-02-20T12%3A33%3A06.832000Z	7d4e1e07-82bc-43da-adec-aa8d755f12c9	Liver-18	10000		4e368f86-9e1c-4ee4-bef9-d500f1f94a7c	Illumina NovaSeq 6000	False	10x 3' v3	single nucleus	64809a52-f703-4aec-b3a5-eca808a971d0	Blavatnik Institute, Harvard Medical School || Boston Children’s Hospital || Broad Institute of Harvard and MIT || EMBL-EBI || Massachusetts General Hospital || University of Massachusetts Chan Medical School	Core for Computational Biomedicine, Department for Biomedical Informatics, || Division of Gastroenterology || Program in Cellular and Molecular Medicine	FibroticLiverWatsonMERFISH	Spatial transcriptomics of healthy and fibrotic human liver at single-cell resolution	310000	7b241d73-0122-4822-9fac-38c55dbef786	normal	Liver			female	donor_2	e9b23703-a1f6-485b-90c3-35339187ad48	Homo sapiens	human adult stage	normal	81-90 year							specimens	7b241d73-0122-4822-9fac-38c55dbef786	AM061	7d4e1e07-82bc-43da-adec-aa8d755f12c9	Liver-18	cell_suspension
a4e984d0-deb9-44a8-aba0-326743c3eeba	tdr:bigquery:gcp:datarepo-76ead5af:hca_prod_64809a52f7034aecb3a5eca808a971d0__20250227_dcp2_20250304_dcp47:/0	273d0e42-576f-4dc3-abee-e4cd8633782d	2025-02-24T11:08:55.943000Z	1c5a297c-4e4b-4251-bce4-7caf80f4585d	analysis_file	GSM8493746_6854-34_matrix.mtx.gz	mtx.gz		83834526	b0ecbf24-03df-4bcc-99e5-517ab590b110	2025-02-20T12:33:07.451000Z	abf369a7	3ff9c7e7d196cafc1bba84c8eb40019453628f994b79b7cc9dfd52480e898f42	application/gzip; dcp-type=data; dcp-type=data	drs://data.terra.bio/v1_a4e984d0-deb9-44a8-aba0-326743c3eeba_8fd8326a-46a3-490c-9f29-0cede8039489	https://service.azul.data.humancellatlas.org/repository/files/b0ecbf24-03df-4bcc-99e5-517ab590b110?catalog=dcp47&version=2025-02-20T12%3A33%3A07.451000Z	e953c87e-1bef-4a20-a3fc-98ed584bc899	Liver-34	10000		273d0e42-576f-4dc3-abee-e4cd8633782d	Illumina NovaSeq 6000	False	10x 3' v3	single nucleus	64809a52-f703-4aec-b3a5-eca808a971d0	Blavatnik Institute, Harvard Medical School || Boston Children’s Hospital || Broad Institute of Harvard and MIT || EMBL-EBI || Massachusetts General Hospital || University of Massachusetts Chan Medical School	Core for Computational Biomedicine, Department for Biomedical Informatics, || Division of Gastroenterology || Program in Cellular and Molecular Medicine	FibroticLiverWatsonMERFISH	Spatial transcriptomics of healthy and fibrotic human liver at single-cell resolution	310000	26d1f393-53c5-41ab-8863-d2bc9beabe14	fibrotic liver disease	Liver			male	donor_6	c2a8ef55-7e53-456a-a3b2-430db73ed9c2	Homo sapiens	human adult stage	fibrotic liver disease	61-70 year							specimens	26d1f393-53c5-41ab-8863-d2bc9beabe14	AM072	e953c87e-1bef-4a20-a3fc-98ed584bc899	Liver-34	cell_suspension
a4e984d0-deb9-44a8-aba0-326743c3eeba	tdr:bigquery:gcp:datarepo-76ead5af:hca_prod_64809a52f7034aecb3a5eca808a971d0__20250227_dcp2_20250304_dcp47:/0	76710033-33da-49b6-a29a-1b0299bbbcf1	2025-02-24T11:08:55.943000Z	1e54b72c-57c7-46ea-8e39-04497cbee93c	sequence_file	6854-13_S1_L002_R2_001.fastq.gz	fastq.gz	read2	18741646144	a1a8a606-20b5-43e4-95fb-190fa9e9bb7d	2025-02-20T12:33:06.612000Z	d04db9be	221a6f76000725ce1f63e8b78cbddcc29d2471d2c9f73eb6403d3dc4e2847370	binary/octet-stream; dcp-type=data; dcp-type=data	drs://data.terra.bio/v1_a4e984d0-deb9-44a8-aba0-326743c3eeba_d0799edd-264d-4b91-9603-a52a6333fe31	https://service.azul.data.humancellatlas.org/repository/files/a1a8a606-20b5-43e4-95fb-190fa9e9bb7d?catalog=dcp47&version=2025-02-20T12%3A33%3A06.612000Z	29eb85cc-eedf-440e-b13c-b7d5a7d94de3	Liver-13	10000		76710033-33da-49b6-a29a-1b0299bbbcf1	Illumina NovaSeq 6000	False	10x 3' v3	single nucleus	64809a52-f703-4aec-b3a5-eca808a971d0	Blavatnik Institute, Harvard Medical School || Boston Children’s Hospital || Broad Institute of Harvard and MIT || EMBL-EBI || Massachusetts General Hospital || University of Massachusetts Chan Medical School	Core for Computational Biomedicine, Department for Biomedical Informatics, || Division of Gastroenterology || Program in Cellular and Molecular Medicine	FibroticLiverWatsonMERFISH	Spatial transcriptomics of healthy and fibrotic human liver at single-cell resolution	310000	52469344-f72d-49be-a251-19379c8e21ee	normal	Liver			female	donor_1	e7427895-cf3f-4c48-bd0f-2028bffe28c8	Homo sapiens	human adult stage	normal	51-60 year							specimens	52469344-f72d-49be-a251-19379c8e21ee	AM042	29eb85cc-eedf-440e-b13c-b7d5a7d94de3	Liver-13	cell_suspension
a4e984d0-deb9-44a8-aba0-326743c3eeba	tdr:bigquery:gcp:datarepo-76ead5af:hca_prod_64809a52f7034aecb3a5eca808a971d0__20250227_dcp2_20250304_dcp47:/0	dc44f64b-5d99-4745-968b-653d5b77b761	2025-02-24T11:08:55.943000Z	1ec06540-831e-49c5-bf24-105b274fa379	analysis_file	adata_merfish_nucseq_healthy_hep.h5ad	h5ad		124866827	7d6f347c-3b3a-4a8c-a653-03c809e49241	2025-02-20T12:33:07.960000Z	30ab2757	868cdf06ce59047179e5ca0d40575fe231a83887b2235a1eef07dee40b79e169	application/octet-stream; dcp-type=data; dcp-type=data	drs://data.terra.bio/v1_a4e984d0-deb9-44a8-aba0-326743c3eeba_508e14a7-c5ec-4592-9a29-3d2a82b0127e	https://service.azul.data.humancellatlas.org/repository/files/7d6f347c-3b3a-4a8c-a653-03c809e49241?catalog=dcp47&version=2025-02-20T12%3A33%3A07.960000Z	29eb85cc-eedf-440e-b13c-b7d5a7d94de3 || 7b3ac037-4f65-4699-ad8d-73f03987ed23 || 7d4e1e07-82bc-43da-adec-aa8d755f12c9	Liver-13 || Liver-14 || Liver-18	30000		dc44f64b-5d99-4745-968b-653d5b77b761	Illumina NovaSeq 6000	False	10x 3' v3	single nucleus	64809a52-f703-4aec-b3a5-eca808a971d0	Blavatnik Institute, Harvard Medical School || Boston Children’s Hospital || Broad Institute of Harvard and MIT || EMBL-EBI || Massachusetts General Hospital || University of Massachusetts Chan Medical School	Core for Computational Biomedicine, Department for Biomedical Informatics, || Division of Gastroenterology || Program in Cellular and Molecular Medicine	FibroticLiverWatsonMERFISH	Spatial transcriptomics of healthy and fibrotic human liver at single-cell resolution	310000	52469344-f72d-49be-a251-19379c8e21ee || 7b241d73-0122-4822-9fac-38c55dbef786 || e93eb03d-3a41-4465-b58a-77e17617f880	normal	Liver			female || male	donor_1 || donor_2 || donor_3	7060464f-44b5-4f47-8703-48ba5c8e59f1 || e7427895-cf3f-4c48-bd0f-2028bffe28c8 || e9b23703-a1f6-485b-90c3-35339187ad48	Homo sapiens	human adult stage	normal	51-60 year || 61-70 year || 81-90 year							specimens	52469344-f72d-49be-a251-19379c8e21ee || 7b241d73-0122-4822-9fac-38c55dbef786 || e93eb03d-3a41-4465-b58a-77e17617f880	AM042 || AM048 || AM061	29eb85cc-eedf-440e-b13c-b7d5a7d94de3 || 2f4bd888-b2f5-4144-92bf-485213007d4e || 4621e862-0169-4b05-abec-4aba7188e001 || 7b3ac037-4f65-4699-ad8d-73f03987ed23 || 7d4e1e07-82bc-43da-adec-aa8d755f12c9 || f19bb33e-5035-4712-9cea-b3acea74456a	AM042_imaged || AM048_imaged || AM061_imaged || Liver-13 || Liver-14 || Liver-18	cell_suspension || imaged_specimen
a4e984d0-deb9-44a8-aba0-326743c3eeba	tdr:bigquery:gcp:datarepo-76ead5af:hca_prod_64809a52f7034aecb3a5eca808a971d0__20250227_dcp2_20250304_dcp47:/0	fc82bd1b-6dbb-4e70-98cf-d6e43800a143	2025-02-24T11:08:55.943000Z	20c7e4a8-5160-4235-8e5e-77e64a634d09	analysis_file	segmentation_AM048_20210830.csv	csv		1517022205	3c6335ca-d9e1-4bbb-9821-15cb181bf90e	2025-02-20T12:33:08.277000Z	f621db9d	05ff844b18d7a0d462c29e50633cf853262d1ad9b3d840e8a30de74380467146	application/octet-stream; dcp-type=data; dcp-type=data	drs://data.terra.bio/v1_a4e984d0-deb9-44a8-aba0-326743c3eeba_84b37f3f-16ad-4791-a619-a4cb92f101b8	https://service.azul.data.humancellatlas.org/repository/files/3c6335ca-d9e1-4bbb-9821-15cb181bf90e?catalog=dcp47&version=2025-02-20T12%3A33%3A08.277000Z										64809a52-f703-4aec-b3a5-eca808a971d0	Blavatnik Institute, Harvard Medical School || Boston Children’s Hospital || Broad Institute of Harvard and MIT || EMBL-EBI || Massachusetts General Hospital || University of Massachusetts Chan Medical School	Core for Computational Biomedicine, Department for Biomedical Informatics, || Division of Gastroenterology || Program in Cellular and Molecular Medicine	FibroticLiverWatsonMERFISH	Spatial transcriptomics of healthy and fibrotic human liver at single-cell resolution	310000	e93eb03d-3a41-4465-b58a-77e17617f880	normal	Liver			male	donor_3	7060464f-44b5-4f47-8703-48ba5c8e59f1	Homo sapiens	human adult stage	normal	61-70 year							specimens	e93eb03d-3a41-4465-b58a-77e17617f880	AM048			
